Date,Open,High,Low,Close,Adj Close,Volume
2014-07-28,419.250000,419.899994,414.000000,414.774994,383.684540,1942476
2014-07-30,415.500000,420.950012,413.424988,419.399994,387.962891,2342690
2014-07-31,418.950012,419.950012,414.274994,417.000000,385.742798,5950672
2014-08-01,413.024994,413.899994,406.000000,407.725006,377.163055,3414230
2014-08-04,409.500000,411.350006,403.549988,406.500000,376.029846,3681522
2014-08-05,408.500000,411.500000,404.950012,410.100006,379.360046,3038552
2014-08-06,407.524994,409.774994,403.674988,405.000000,374.642303,1690700
2014-08-07,406.450012,409.250000,405.000000,405.750000,375.336060,1966870
2014-08-08,402.500000,403.899994,397.500000,398.075012,368.236389,3725340
2014-08-11,400.500000,401.424988,395.700012,396.475006,366.756317,2813112
2014-08-12,400.500000,404.250000,396.000000,403.600006,373.347168,3301536
2014-08-13,405.000000,407.875000,401.325012,406.200012,375.752350,3919910
2014-08-14,407.049988,415.825012,406.649994,413.350006,382.366364,5936612
2014-08-18,415.000000,417.250000,411.799988,416.174988,384.979614,3351084
2014-08-19,416.500000,418.750000,411.125000,411.924988,381.048187,3946428
2014-08-20,414.500000,417.299988,409.500000,410.274994,379.521851,4717426
2014-08-21,411.000000,417.600006,410.500000,416.250000,385.048981,3195240
2014-08-22,417.174988,424.375000,414.024994,423.375000,391.639954,5007644
2014-08-25,421.500000,426.399994,418.600006,421.725006,390.113586,3328032
2014-08-26,422.250000,424.250000,419.049988,421.250000,389.674225,2082628
2014-08-27,423.000000,423.000000,417.000000,418.299988,386.945343,2426484
2014-08-28,418.750000,422.750000,417.000000,421.774994,390.159882,3995726
2014-09-01,422.950012,424.500000,419.299988,420.600006,389.072937,2077328
2014-09-02,421.549988,430.549988,419.325012,429.600006,397.398315,5721126
2014-09-03,432.500000,432.500000,425.799988,428.325012,396.218903,4617390
2014-09-04,429.024994,429.500000,424.250000,425.924988,393.998810,3203484
2014-09-05,426.000000,427.774994,422.049988,424.225006,392.426239,1917604
2014-09-08,425.500000,433.899994,424.725006,432.375000,399.965302,4894172
2014-09-09,430.049988,434.950012,428.899994,432.799988,400.358490,3830522
2014-09-10,432.500000,432.500000,427.049988,428.649994,396.519501,2157126
2014-09-11,428.700012,431.549988,426.500000,427.174988,395.155060,3266432
2014-09-12,425.049988,429.000000,424.475006,427.850006,395.779510,3043278
2014-09-15,425.000000,432.500000,425.000000,430.174988,397.930206,2904544
2014-09-16,430.500000,431.024994,424.000000,425.500000,393.605621,2538134
2014-09-17,427.500000,427.950012,421.049988,423.200012,391.478088,3952948
2014-09-18,422.375000,430.500000,421.125000,429.075012,396.912689,3326284
2014-09-19,430.000000,432.500000,425.700012,430.125000,397.883942,3271054
2014-09-22,428.475006,429.250000,425.500000,428.424988,396.311371,3267158
2014-09-23,428.024994,428.924988,422.799988,424.424988,392.611267,2358488
2014-09-24,423.549988,428.649994,422.524994,427.725006,395.663849,3332748
2014-09-25,426.500000,432.799988,421.049988,424.975006,393.119995,8297980
2014-09-26,424.975006,439.500000,422.500000,435.825012,403.156708,4941126
2014-09-29,436.500000,438.674988,430.600006,432.549988,400.127136,4341134
2014-09-30,432.100006,439.899994,430.575012,436.325012,403.619293,6017716
2014-10-01,433.000000,435.575012,430.250000,434.000000,401.468506,2935094
2014-10-07,432.500000,433.500000,427.049988,431.225006,398.901550,2513144
2014-10-08,430.274994,435.000000,429.149994,433.799988,401.283508,1570192
2014-10-09,437.000000,446.475006,434.125000,443.799988,410.533936,3825210
2014-10-10,441.524994,442.575012,432.450012,433.649994,401.144684,2133490
2014-10-13,432.000000,439.000000,427.825012,438.399994,405.538696,2688256
2014-10-14,442.500000,442.975006,432.575012,434.174988,401.630402,3633120
2014-10-15,434.174988,434.174988,434.174988,434.174988,401.630402,0
2014-10-16,434.200012,437.000000,427.524994,429.424988,397.236450,2766542
2014-10-17,430.125000,444.049988,428.549988,442.625000,409.447021,4988960
2014-10-20,447.000000,454.799988,445.075012,446.899994,413.401581,4766002
2014-10-21,450.000000,452.875000,443.825012,447.774994,414.210938,8018576
2014-10-22,452.524994,453.174988,445.625000,446.825012,413.332184,2285772
2014-10-27,449.524994,453.649994,447.075012,448.625000,414.997284,3362384
2014-10-28,449.500000,450.100006,447.000000,447.649994,414.095337,2901746
2014-10-29,450.100006,451.250000,445.000000,445.774994,412.360870,3948094
2014-10-30,444.950012,449.975006,443.549988,448.325012,414.719788,5369090
2014-10-31,450.049988,457.299988,448.674988,455.924988,421.750092,5052994
2014-11-03,457.600006,459.649994,452.700012,455.350006,421.218140,3619824
2014-11-05,457.524994,460.149994,455.125000,456.399994,422.189453,3762090
2014-11-07,452.500000,453.299988,446.825012,449.725006,416.014801,4514246
2014-11-10,449.750000,454.174988,446.500000,452.325012,418.419922,3194878
2014-11-11,452.950012,458.649994,451.200012,453.950012,419.923065,2956704
2014-11-12,455.500000,459.950012,452.075012,455.875000,421.703827,4529332
2014-11-13,457.750000,460.000000,451.950012,457.975006,423.646362,3694476
2014-11-14,459.100006,466.500000,455.875000,465.049988,430.191040,4219028
2014-11-17,465.000000,467.000000,454.000000,459.475006,425.033936,6732042
2014-11-18,460.500000,467.500000,456.000000,466.100006,431.162415,4594556
2014-11-19,467.524994,468.850006,461.075012,463.274994,428.549133,1727424
2014-11-20,463.975006,463.975006,456.049988,459.100006,424.687073,2385186
2014-11-21,460.600006,467.500000,457.024994,466.424988,431.463013,4411904
2014-11-24,466.174988,475.000000,464.049988,472.600006,437.175171,3658430
2014-11-25,471.500000,479.399994,469.500000,476.774994,441.037201,6078254
2014-11-26,469.899994,479.950012,466.649994,475.649994,439.996521,4488214
2014-11-27,475.299988,476.899994,471.500000,474.075012,438.539612,6605724
2014-11-28,474.000000,482.950012,473.500000,478.575012,442.702271,4625930
2014-12-01,479.149994,481.225006,474.100006,475.000000,439.395233,3694564
2014-12-02,470.875000,474.799988,469.600006,471.649994,436.296356,2258778
2014-12-03,471.000000,472.024994,466.000000,466.549988,431.578644,3330592
2014-12-04,470.000000,472.125000,466.000000,470.700012,435.417664,3419552
2014-12-05,470.500000,472.200012,467.850006,471.375000,436.041992,2037090
2014-12-08,472.500000,472.500000,462.500000,463.575012,428.826630,2028564
2014-12-09,462.524994,467.500000,462.524994,463.375000,428.641632,2436672
2014-12-10,463.049988,467.500000,462.649994,465.700012,430.792389,2782716
2014-12-11,464.950012,467.875000,462.500000,466.799988,431.809937,2409422
2014-12-12,466.500000,468.100006,464.500000,465.750000,430.838593,2308414
2014-12-15,465.000000,472.149994,464.000000,470.750000,435.463867,3319314
2014-12-16,468.774994,471.000000,458.500000,462.875000,428.179077,2494978
2014-12-17,463.000000,466.250000,458.000000,460.924988,426.375244,3532008
2014-12-18,466.299988,468.250000,461.024994,467.024994,432.018005,3246914
