"DateTime","Pre Open TATAMOTORS","TATAMOTORSEQN"
"2024-07-04 09:07:22",984,
"2024-07-04 09:07:25",984,
"2024-07-04 09:07:29",984,
"2024-07-04 09:15:02",,980.15
"2024-07-04 09:15:11",,980
"2024-07-04 09:15:19",,981
"2024-07-04 09:15:28",,982.05
"2024-07-04 09:15:36",,982.5
"2024-07-04 09:15:43",,982.95
"2024-07-04 09:16:19",,982.9
"2024-07-04 09:16:20",,982.95
"2024-07-04 09:16:21",,982.95
"2024-07-04 09:16:22",,983.65
"2024-07-04 09:16:23",,983.5
"2024-07-04 09:16:24",,983.1
"2024-07-04 09:16:25",,983.45
"2024-07-04 09:16:26",,983.9
"2024-07-04 09:16:27",,983.9
"2024-07-04 09:16:28",,983.5
"2024-07-04 09:16:29",,984.2
"2024-07-04 09:16:30",,984
"2024-07-04 09:16:31",,984.4
"2024-07-04 09:16:32",,984.5
"2024-07-04 09:16:33",,984.5
"2024-07-04 09:16:34",,984.3
"2024-07-04 09:16:35",,984.8
"2024-07-04 09:16:36",,984.95
"2024-07-04 09:16:37",,984.4
"2024-07-04 09:16:38",,984.7
"2024-07-04 09:16:39",,984.85
"2024-07-04 09:16:41",,985.2
"2024-07-04 09:16:42",,985.65
"2024-07-04 09:16:43",,985.2
"2024-07-04 09:16:44",,985.45
"2024-07-04 09:16:45",,985.35
"2024-07-04 09:16:46",,985.95
"2024-07-04 09:16:47",,985.45
"2024-07-04 09:16:48",,986
"2024-07-04 09:16:49",,986
"2024-07-04 09:16:50",,985.5
"2024-07-04 09:16:51",,986
"2024-07-04 09:16:52",,986
"2024-07-04 09:16:53",,986
"2024-07-04 09:16:54",,986.3
"2024-07-04 09:16:55",,986.25
"2024-07-04 09:16:56",,986.35
"2024-07-04 09:16:57",,986.25
"2024-07-04 09:16:58",,985.6
"2024-07-04 09:16:59",,986.35
"2024-07-04 09:17:00",,986
"2024-07-04 09:17:01",,985.95
"2024-07-04 09:17:02",,985.95
"2024-07-04 09:17:03",,985.65
"2024-07-04 09:17:04",,986.35
"2024-07-04 09:17:05",,986.3
"2024-07-04 09:17:06",,985.75
"2024-07-04 09:17:07",,986.3
"2024-07-04 09:17:08",,986.35
"2024-07-04 09:17:09",,986.35
"2024-07-04 09:17:10",,986.1
"2024-07-04 09:17:11",,986.2
"2024-07-04 09:17:12",,986.45
"2024-07-04 09:17:13",,985.95
"2024-07-04 09:17:14",,986.65
"2024-07-04 09:17:15",,986.65
"2024-07-04 09:17:16",,986.15
"2024-07-04 09:17:17",,986.75
"2024-07-04 09:17:18",,986.5
"2024-07-04 09:17:19",,986.75
"2024-07-04 09:17:20",,986.75
"2024-07-04 09:17:21",,987.65
"2024-07-04 09:17:22",,987.75
"2024-07-04 09:17:23",,987
"2024-07-04 09:17:24",,987
"2024-07-04 09:17:25",,987.45
"2024-07-04 09:17:26",,987
"2024-07-04 09:17:27",,987.5
"2024-07-04 09:17:28",,987.05
"2024-07-04 09:17:29",,987.05
"2024-07-04 09:17:30",,987.25
"2024-07-04 09:17:31",,987.25
"2024-07-04 09:17:32",,987.65
"2024-07-04 09:17:33",,987.65
"2024-07-04 09:17:34",,987.35
"2024-07-04 09:17:35",,987.3
"2024-07-04 09:17:36",,987.25
"2024-07-04 09:17:37",,987.3
"2024-07-04 09:17:38",,987.95
"2024-07-04 09:17:39",,987.3
"2024-07-04 09:17:40",,987.5
"2024-07-04 09:17:41",,987.15
"2024-07-04 09:17:42",,987
"2024-07-04 09:17:43",,987.15
"2024-07-04 09:17:44",,987.1
"2024-07-04 09:17:45",,987
"2024-07-04 09:17:46",,987.15
"2024-07-04 09:17:47",,987
"2024-07-04 09:17:48",,987.4
"2024-07-04 09:17:49",,987.4
"2024-07-04 09:17:50",,987.35
"2024-07-04 09:17:51",,987
"2024-07-04 09:17:52",,987.2
"2024-07-04 09:17:53",,987.4
"2024-07-04 09:17:54",,987.1
"2024-07-04 09:17:55",,987.4
"2024-07-04 09:17:56",,987.25
"2024-07-04 09:17:57",,987.05
"2024-07-04 09:17:58",,987.3
"2024-07-04 09:17:59",,987.25
"2024-07-04 09:18:00",,987
"2024-07-04 09:18:02",,986.95
"2024-07-04 09:18:03",,987
"2024-07-04 09:18:04",,987.05
"2024-07-04 09:18:05",,986.55
"2024-07-04 09:18:06",,986.6
"2024-07-04 09:18:07",,987
"2024-07-04 09:18:08",,987
"2024-07-04 09:18:09",,986.6
"2024-07-04 09:18:10",,986.9
"2024-07-04 09:18:11",,986.95
"2024-07-04 09:18:12",,986.75
"2024-07-04 09:18:13",,986.65
"2024-07-04 09:18:14",,987.2
"2024-07-04 09:18:15",,986.9
"2024-07-04 09:18:16",,987.25
"2024-07-04 09:18:17",,987.3
"2024-07-04 09:18:18",,987.2
"2024-07-04 09:18:19",,987.35
"2024-07-04 09:18:20",,986.85
"2024-07-04 09:18:21",,986.8
"2024-07-04 09:18:22",,987.2
"2024-07-04 09:18:23",,987.1
"2024-07-04 09:18:24",,986.8
"2024-07-04 09:18:25",,986.8
"2024-07-04 09:18:26",,986.8
"2024-07-04 09:18:27",,986.5
"2024-07-04 09:18:28",,987
"2024-07-04 09:18:29",,986.55
"2024-07-04 09:18:30",,986.6
"2024-07-04 09:18:31",,987
"2024-07-04 09:18:32",,986.75
"2024-07-04 09:18:33",,986.8
"2024-07-04 09:18:34",,986.6
"2024-07-04 09:18:35",,986.95
"2024-07-04 09:18:36",,986.65
"2024-07-04 09:18:37",,987.45
"2024-07-04 09:18:38",,987.55
"2024-07-04 09:18:39",,987.9
"2024-07-04 09:18:40",,987.5
"2024-07-04 09:18:41",,987.95
"2024-07-04 09:18:42",,987.5
"2024-07-04 09:18:43",,988
"2024-07-04 09:18:44",,987.9
"2024-07-04 09:18:45",,987.95
"2024-07-04 09:18:46",,987.5
"2024-07-04 09:18:47",,987.9
"2024-07-04 09:18:48",,987.6
"2024-07-04 09:18:49",,987.55
"2024-07-04 09:18:50",,987.7
"2024-07-04 09:18:51",,987.9
"2024-07-04 09:18:52",,987.7
"2024-07-04 09:18:53",,988
"2024-07-04 09:18:54",,987.7
"2024-07-04 09:18:55",,987.8
"2024-07-04 09:18:56",,987.8
"2024-07-04 09:18:57",,987.75
"2024-07-04 09:18:58",,987.7
"2024-07-04 09:18:59",,987.8
"2024-07-04 09:19:00",,987.9
"2024-07-04 09:19:01",,987.9
"2024-07-04 09:19:02",,987.05
"2024-07-04 09:19:03",,987.5
"2024-07-04 09:19:04",,987.65
"2024-07-04 09:19:05",,987.65
"2024-07-04 09:19:06",,987.35
"2024-07-04 09:19:08",,987.75
"2024-07-04 09:19:09",,987.75
"2024-07-04 09:19:10",,987.75
"2024-07-04 09:19:11",,987.9
"2024-07-04 09:19:12",,987.5
"2024-07-04 09:19:13",,987.95
"2024-07-04 09:19:14",,987.9
"2024-07-04 09:19:15",,987.65
"2024-07-04 09:19:16",,987.9
"2024-07-04 09:19:17",,987.7
