"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Nov-2023","EQ","662.00","666.00","646.20","636.45","646.80","647.50","652.41","677.80","375.20","2,30,87,856","15,06,27,14,284.35","3,66,476"
"02-Nov-2023","EQ","632.00","638.20","630.10","627.70","637.50","636.45","633.82","677.80","375.20","99,34,305","6,29,65,55,682.90","1,98,160"
"01-Nov-2023","EQ","630.00","633.80","626.30","628.65","627.60","627.70","629.50","677.80","375.20","87,85,264","5,53,02,95,098.75","1,66,295"
"31-Oct-2023","EQ","642.00","642.00","627.30","628.50","629.50","628.65","632.20","677.80","375.20","1,13,95,766","7,20,44,57,704.40","2,26,833"
"30-Oct-2023","EQ","643.80","643.80","621.85","641.05","629.20","628.50","628.05","677.80","375.20","1,27,86,883","8,03,08,03,018.35","2,82,270"
"27-Oct-2023","EQ","630.00","643.95","628.45","626.55","640.95","641.05","635.03","677.80","375.20","1,02,32,856","6,49,81,90,078.00","2,17,169"
"26-Oct-2023","EQ","635.00","635.65","624.15","637.85","625.55","626.55","628.33","677.80","375.20","88,89,373","5,58,54,35,011.60","2,58,779"
"25-Oct-2023","EQ","650.00","651.90","636.05","647.35","637.90","637.85","643.25","677.80","375.20","82,29,559","5,29,36,72,839.95","2,40,097"
"23-Oct-2023","EQ","663.65","667.25","645.00","663.20","646.45","647.35","654.70","677.80","375.20","85,64,004","5,60,68,34,849.65","2,03,812"
"20-Oct-2023","EQ","666.65","676.40","660.50","668.80","662.40","663.20","669.28","677.80","375.20","1,17,59,568","7,87,04,49,935.35","2,22,813"
"19-Oct-2023","EQ","662.95","672.30","658.60","668.50","667.10","668.80","666.13","677.80","375.20","1,06,33,043","7,08,29,49,540.35","2,33,714"
"18-Oct-2023","EQ","658.60","672.25","653.80","655.70","667.25","668.50","664.73","677.80","375.20","1,49,08,778","9,91,02,78,989.95","2,66,210"
"17-Oct-2023","EQ","670.00","670.90","654.65","666.20","656.00","655.70","661.44","677.80","375.20","1,02,63,992","6,78,89,80,511.60","2,36,638"
"16-Oct-2023","EQ","668.55","677.80","661.25","667.10","666.35","666.20","669.55","677.80","375.20","2,00,05,816","13,39,48,12,067.35","3,98,067"
"13-Oct-2023","EQ","633.95","669.00","633.00","636.95","667.10","667.10","657.36","669.00","375.20","2,80,11,678","18,41,36,43,893.45","3,32,803"
"12-Oct-2023","EQ","637.00","640.20","635.05","634.00","637.10","636.95","637.46","665.40","375.20","59,28,732","3,77,93,15,590.75","1,25,915"
"11-Oct-2023","EQ","633.00","637.80","632.60","630.55","634.50","634.00","635.10","665.40","375.20","77,01,931","4,89,14,79,943.65","1,35,341"
"10-Oct-2023","EQ","620.00","632.50","617.60","617.35","630.60","630.55","629.02","665.40","375.20","98,33,429","6,18,54,14,512.95","2,06,068"
"09-Oct-2023","EQ","620.80","622.00","613.70","622.45","617.00","617.35","617.82","665.40","375.20","63,81,189","3,94,24,39,639.70","1,72,655"
"06-Oct-2023","EQ","627.00","627.35","620.00","619.60","623.10","622.45","622.95","665.40","375.20","79,22,379","4,93,52,56,762.30","2,27,470"
"05-Oct-2023","EQ","619.00","621.35","614.65","613.60","619.40","619.60","618.39","665.40","375.20","78,93,892","4,88,15,07,887.30","2,24,347"
"04-Oct-2023","EQ","620.80","620.80","608.30","620.45","614.40","613.60","613.73","665.40","375.20","76,12,709","4,67,21,81,567.90","2,24,747"
"03-Oct-2023","EQ","632.60","632.65","618.60","630.20","621.10","620.45","621.92","665.40","375.20","68,94,577","4,28,78,72,037.00","1,71,925"
"29-Sep-2023","EQ","618.70","633.00","617.00","614.10","631.00","630.20","628.64","665.40","375.20","89,69,405","5,63,85,05,877.90","1,51,844"
"28-Sep-2023","EQ","622.90","623.80","612.25","620.15","615.00","614.10","617.93","665.40","375.20","67,68,196","4,18,22,92,216.30","1,34,821"
"27-Sep-2023","EQ","619.95","621.90","616.75","619.80","620.65","620.15","618.76","665.40","375.20","59,60,490","3,68,81,30,393.20","1,49,016"
"26-Sep-2023","EQ","618.70","625.70","617.95","618.70","620.00","619.80","621.89","665.40","375.20","62,71,108","3,89,99,41,784.00","1,24,821"
"25-Sep-2023","EQ","623.85","625.20","617.90","620.45","619.00","618.70","620.60","665.40","375.20","63,90,681","3,96,60,82,058.55","1,30,903"
"22-Sep-2023","EQ","628.00","630.80","619.00","627.05","620.95","620.45","625.62","665.40","375.20","65,51,917","4,09,90,25,027.30","1,50,697"
"21-Sep-2023","EQ","638.50","641.70","624.00","638.50","628.15","627.05","631.47","665.40","375.20","92,66,854","5,85,17,65,688.55","2,02,887"
"20-Sep-2023","EQ","640.70","647.00","637.00","640.65","640.00","638.50","642.84","665.40","375.20","1,17,77,925","7,57,12,71,157.35","2,11,433"
"18-Sep-2023","EQ","635.90","644.20","633.15","634.25","640.85","640.65","640.37","665.40","375.20","1,11,08,349","7,11,35,01,339.10","1,77,581"
"15-Sep-2023","EQ","628.70","636.50","627.15","624.60","634.20","634.25","633.20","665.40","375.20","1,89,17,805","11,97,87,50,794.85","2,50,637"
"14-Sep-2023","EQ","628.10","630.80","623.30","625.90","624.70","624.60","626.87","665.40","375.20","57,22,295","3,58,71,28,293.10","1,38,280"
"13-Sep-2023","EQ","621.00","628.50","619.55","620.80","626.00","625.90","625.18","665.40","375.20","69,88,358","4,36,89,76,331.95","1,41,594"
"12-Sep-2023","EQ","638.00","639.00","615.25","634.85","620.90","620.80","624.30","665.40","375.20","1,25,41,377","7,82,95,99,452.25","2,38,844"
"11-Sep-2023","EQ","634.65","635.40","630.50","627.25","634.95","634.85","633.71","665.40","375.20","87,80,510","5,56,42,59,558.20","2,01,674"
"08-Sep-2023","EQ","617.95","628.90","614.20","614.90","626.95","627.25","624.03","665.40","375.20","1,61,90,749","10,10,34,72,512.75","2,06,605"
"07-Sep-2023","EQ","610.90","616.50","609.05","610.25","614.25","614.90","613.64","665.40","375.20","65,20,293","4,00,11,37,081.85","1,12,863"
"06-Sep-2023","EQ","611.15","612.55","605.60","611.15","610.60","610.25","608.59","665.40","375.20","65,20,064","3,96,80,67,590.80","1,42,267"
"05-Sep-2023","EQ","610.00","618.90","608.05","609.00","611.50","611.15","612.62","665.40","375.20","85,60,651","5,24,44,47,608.85","1,31,391"
"04-Sep-2023","EQ","615.60","615.60","606.00","611.20","609.70","609.00","609.08","665.40","375.20","83,92,665","5,11,17,87,835.65","1,73,185"
"01-Sep-2023","EQ","604.20","614.90","601.90","601.00","610.40","611.20","609.91","665.40","375.20","1,02,97,492","6,28,05,25,718.10","1,82,015"
"31-Aug-2023","EQ","608.80","609.65","599.05","605.55","601.90","601.00","603.88","665.40","375.20","1,05,44,271","6,36,74,65,563.95","1,49,603"
"30-Aug-2023","EQ","611.20","612.90","605.00","607.15","606.65","605.55","609.24","665.40","375.20","56,76,055","3,45,81,00,346.70","1,10,514"
"29-Aug-2023","EQ","603.60","610.50","603.60","602.40","607.65","607.15","607.69","665.40","375.20","69,56,667","4,22,74,70,423.75","1,08,463"
"28-Aug-2023","EQ","605.40","608.50","601.55","605.10","603.00","602.40","604.74","665.40","375.20","74,79,254","4,52,30,34,713.60","1,36,397"
"25-Aug-2023","EQ","610.85","616.70","593.30","610.95","601.80","605.10","606.07","665.40","375.20","1,60,75,509","9,74,29,24,758.50","2,24,142"
"24-Aug-2023","EQ","618.00","619.00","609.65","613.90","611.65","610.95","613.96","665.40","375.20","70,96,025","4,35,66,94,947.50","1,26,558"
"23-Aug-2023","EQ","622.75","622.75","613.15","620.20","614.50","613.90","615.89","665.40","375.20","82,48,333","5,08,01,04,176.50","1,32,089"
