"DateTime","Pre Open HDFCBANK","HDFCBANKEQN"
"2024-07-04 09:07:22",1759.65,
"2024-07-04 09:07:24",1759.75,
"2024-07-04 09:07:27",1759.75,
"2024-07-04 09:15:00",,1758.8
"2024-07-04 09:15:10",,1752.6
"2024-07-04 09:15:18",,1751
"2024-07-04 09:15:25",,1748.2
"2024-07-04 09:15:32",,1748.95
"2024-07-04 09:15:40",,1750.05
"2024-07-04 09:15:47",,1750.55
"2024-07-04 09:16:20",,1750.75
"2024-07-04 09:16:21",,1750.75
"2024-07-04 09:16:22",,1750.45
"2024-07-04 09:16:23",,1750.45
"2024-07-04 09:16:24",,1748.75
"2024-07-04 09:16:25",,1748.95
"2024-07-04 09:16:26",,1749.8
"2024-07-04 09:16:27",,1749.5
"2024-07-04 09:16:28",,1749.1
"2024-07-04 09:16:29",,1749.1
"2024-07-04 09:16:30",,1749.5
"2024-07-04 09:16:31",,1749
"2024-07-04 09:16:32",,1748.45
"2024-07-04 09:16:33",,1748.6
"2024-07-04 09:16:34",,1749.1
"2024-07-04 09:16:35",,1748.9
"2024-07-04 09:16:36",,1749.2
"2024-07-04 09:16:37",,1749
"2024-07-04 09:16:38",,1749
"2024-07-04 09:16:39",,1749.2
"2024-07-04 09:16:40",,1749.1
"2024-07-04 09:16:41",,1748.75
"2024-07-04 09:16:42",,1748.55
"2024-07-04 09:16:43",,1748.25
"2024-07-04 09:16:44",,1747.8
"2024-07-04 09:16:45",,1747.75
"2024-07-04 09:16:46",,1747.8
"2024-07-04 09:16:47",,1748.05
"2024-07-04 09:16:48",,1748.65
"2024-07-04 09:16:49",,1748.45
"2024-07-04 09:16:50",,1748.15
"2024-07-04 09:16:51",,1747.65
"2024-07-04 09:16:52",,1747.7
"2024-07-04 09:16:53",,1747.35
"2024-07-04 09:16:54",,1747.5
"2024-07-04 09:16:55",,1747.8
"2024-07-04 09:16:56",,1747.4
"2024-07-04 09:16:57",,1747.35
"2024-07-04 09:16:58",,1747.1
"2024-07-04 09:16:59",,1747.3
"2024-07-04 09:17:00",,1747.2
"2024-07-04 09:17:01",,1747.4
"2024-07-04 09:17:02",,1747.95
"2024-07-04 09:17:03",,1747.8
"2024-07-04 09:17:04",,1748.45
"2024-07-04 09:17:05",,1748.35
"2024-07-04 09:17:06",,1748.4
"2024-07-04 09:17:07",,1747.7
"2024-07-04 09:17:08",,1747.8
"2024-07-04 09:17:09",,1748.15
"2024-07-04 09:17:10",,1748.15
"2024-07-04 09:17:11",,1748.1
"2024-07-04 09:17:12",,1748.2
"2024-07-04 09:17:13",,1747.85
"2024-07-04 09:17:14",,1747.5
"2024-07-04 09:17:15",,1747.9
"2024-07-04 09:17:16",,1747.4
"2024-07-04 09:17:17",,1747.55
"2024-07-04 09:17:18",,1747.7
"2024-07-04 09:17:19",,1747.95
"2024-07-04 09:17:20",,1747.6
"2024-07-04 09:17:21",,1747.7
"2024-07-04 09:17:22",,1747.6
"2024-07-04 09:17:23",,1747.7
"2024-07-04 09:17:24",,1747.6
"2024-07-04 09:17:25",,1747.7
"2024-07-04 09:17:26",,1747.7
"2024-07-04 09:17:27",,1748
"2024-07-04 09:17:28",,1747.95
"2024-07-04 09:17:29",,1747.75
"2024-07-04 09:17:30",,1747.85
"2024-07-04 09:17:31",,1747.85
"2024-07-04 09:17:32",,1747.85
"2024-07-04 09:17:33",,1747.7
"2024-07-04 09:17:34",,1747.7
"2024-07-04 09:17:35",,1747.45
"2024-07-04 09:17:36",,1747.45
"2024-07-04 09:17:37",,1747.4
"2024-07-04 09:17:38",,1747.5
"2024-07-04 09:17:39",,1747.4
"2024-07-04 09:17:40",,1747.45
"2024-07-04 09:17:41",,1747.7
"2024-07-04 09:17:42",,1747.8
"2024-07-04 09:17:43",,1747.45
"2024-07-04 09:17:44",,1747.8
"2024-07-04 09:17:45",,1747.7
"2024-07-04 09:17:46",,1747.7
"2024-07-04 09:17:47",,1747.7
"2024-07-04 09:17:48",,1747.25
"2024-07-04 09:17:49",,1745.15
"2024-07-04 09:17:50",,1745.4
"2024-07-04 09:17:51",,1745
"2024-07-04 09:17:52",,1745.1
"2024-07-04 09:17:53",,1745.4
"2024-07-04 09:17:54",,1745.45
"2024-07-04 09:17:55",,1746
"2024-07-04 09:17:56",,1746.05
"2024-07-04 09:17:57",,1745.75
"2024-07-04 09:17:58",,1745.45
"2024-07-04 09:17:59",,1745.4
"2024-07-04 09:18:00",,1745.15
"2024-07-04 09:18:01",,1745.1
"2024-07-04 09:18:02",,1745
"2024-07-04 09:18:03",,1745
"2024-07-04 09:18:04",,1744.3
"2024-07-04 09:18:05",,1744.35
"2024-07-04 09:18:06",,1744.3
"2024-07-04 09:18:07",,1744.3
"2024-07-04 09:18:08",,1744.25
"2024-07-04 09:18:09",,1744.2
"2024-07-04 09:18:10",,1744.1
"2024-07-04 09:18:11",,1744.15
"2024-07-04 09:18:12",,1744.4
"2024-07-04 09:18:13",,1744.75
"2024-07-04 09:18:14",,1744.65
"2024-07-04 09:18:15",,1744.75
"2024-07-04 09:18:16",,1744.75
"2024-07-04 09:18:17",,1744.55
"2024-07-04 09:18:18",,1744.6
"2024-07-04 09:18:19",,1744.65
"2024-07-04 09:18:20",,1744.55
"2024-07-04 09:18:21",,1744.55
"2024-07-04 09:18:22",,1744.5
"2024-07-04 09:18:23",,1744.3
"2024-07-04 09:18:24",,1744.55
"2024-07-04 09:18:25",,1744.7
"2024-07-04 09:18:26",,1744.85
"2024-07-04 09:18:27",,1744.8
