"DateTime","Pre Open NESTLEIND","NESTLEINDEQN"
"2024-07-04 09:00:05",2606,
"2024-07-04 09:00:13",2571.35,
"2024-07-04 09:00:20",2571.5,
"2024-07-04 09:00:27",2571.35,
"2024-07-04 09:00:33",2569,
"2024-07-04 09:00:39",2571.5,
"2024-07-04 09:00:44",2571.5,
"2024-07-04 09:00:49",2571.5,
"2024-07-04 09:00:54",2571.5,
"2024-07-04 09:00:59",2571.5,
"2024-07-04 09:01:04",2571.35,
"2024-07-04 09:01:09",2557.2,
"2024-07-04 09:01:14",2551.5,
"2024-07-04 09:01:19",2560,
"2024-07-04 09:01:24",2560,
"2024-07-04 09:01:29",2560,
"2024-07-04 09:01:34",2560,
"2024-07-04 09:01:39",2557.2,
"2024-07-04 09:01:43",2557.2,
"2024-07-04 09:01:48",2557.2,
"2024-07-04 09:01:53",2557.2,
"2024-07-04 09:01:57",2557.2,
"2024-07-04 09:02:03",2557.2,
"2024-07-04 09:02:07",2557.2,
"2024-07-04 09:02:12",2554,
"2024-07-04 09:02:16",2553,
"2024-07-04 09:02:21",2553,
"2024-07-04 09:02:25",2553,
"2024-07-04 09:02:30",2553,
"2024-07-04 09:02:35",2553,
"2024-07-04 09:02:39",2553,
"2024-07-04 09:02:44",2553,
"2024-07-04 09:02:48",2553,
"2024-07-04 09:02:53",2553,
"2024-07-04 09:02:57",2553,
"2024-07-04 09:03:01",2553,
"2024-07-04 09:03:04",2553,
"2024-07-04 09:03:08",2553.9,
"2024-07-04 09:03:11",2554,
"2024-07-04 09:03:15",2553.9,
"2024-07-04 09:03:19",2553.9,
"2024-07-04 09:03:23",2553.9,
"2024-07-04 09:03:26",2553.9,
"2024-07-04 09:03:30",2553.9,
"2024-07-04 09:03:33",2553.9,
"2024-07-04 09:03:37",2553.9,
"2024-07-04 09:03:40",2553.9,
"2024-07-04 09:03:44",2553.9,
"2024-07-04 09:03:48",2553.9,
"2024-07-04 09:03:52",2553.9,
"2024-07-04 09:03:55",2553.9,
"2024-07-04 09:03:59",2553.9,
"2024-07-04 09:04:03",2553.9,
"2024-07-04 09:04:06",2553.9,
"2024-07-04 09:04:10",2553.9,
"2024-07-04 09:04:13",2553.9,
"2024-07-04 09:04:16",2554,
"2024-07-04 09:04:20",2554,
"2024-07-04 09:04:23",2554,
"2024-07-04 09:04:26",2560,
"2024-07-04 09:04:29",2560,
"2024-07-04 09:04:33",2560,
"2024-07-04 09:04:36",2560,
"2024-07-04 09:04:39",2560,
"2024-07-04 09:04:42",2560,
"2024-07-04 09:04:51",2560,
"2024-07-04 09:04:55",2560,
"2024-07-04 09:04:58",2560,
"2024-07-04 09:05:01",2560,
"2024-07-04 09:05:04",2560,
"2024-07-04 09:05:08",2560,
"2024-07-04 09:05:11",2560,
"2024-07-04 09:05:13",2560,
"2024-07-04 09:05:17",2560,
"2024-07-04 09:05:19",2560,
"2024-07-04 09:05:22",2560,
"2024-07-04 09:05:25",2560,
"2024-07-04 09:05:28",2560,
"2024-07-04 09:05:31",2560,
"2024-07-04 09:05:34",2560,
"2024-07-04 09:05:37",2560,
"2024-07-04 09:05:41",2560,
"2024-07-04 09:05:47",2560,
"2024-07-04 09:05:50",2560,
"2024-07-04 09:05:53",2560,
"2024-07-04 09:05:56",2560,
"2024-07-04 09:05:59",2560,
"2024-07-04 09:06:03",2560,
"2024-07-04 09:06:06",2560,
"2024-07-04 09:06:09",2560,
"2024-07-04 09:06:12",2560,
"2024-07-04 09:06:15",2560,
"2024-07-04 09:06:19",2560,
"2024-07-04 09:06:22",2560,
"2024-07-04 09:06:25",2557.2,
"2024-07-04 09:06:28",2555,
"2024-07-04 09:06:31",2555,
"2024-07-04 09:06:34",2555,
"2024-07-04 09:06:36",2555,
"2024-07-04 09:06:39",2555,
"2024-07-04 09:06:42",2555,
"2024-07-04 09:06:45",2555,
"2024-07-04 09:06:50",2555,
"2024-07-04 09:06:53",2555,
"2024-07-04 09:06:56",2555,
"2024-07-04 09:06:59",2554,
"2024-07-04 09:07:02",2551.75,
"2024-07-04 09:07:06",2551.8,
"2024-07-04 09:07:09",2551.8,
"2024-07-04 09:07:11",2555,
"2024-07-04 09:07:14",2560,
"2024-07-04 09:07:16",2560,
"2024-07-04 09:07:19",2560,
"2024-07-04 09:07:21",2560,
"2024-07-04 09:07:23",2560,
"2024-07-04 09:07:25",2560,
"2024-07-04 09:07:30",2560,
"2024-07-04 09:15:05",,2553
"2024-07-04 09:15:14",,2555.25
"2024-07-04 09:15:22",,2554.6
"2024-07-04 09:15:29",,2557.1
"2024-07-04 09:15:36",,2558.05
"2024-07-04 09:15:44",,2559
"2024-07-04 09:16:21",,2555.4
"2024-07-04 09:16:31",,2553
"2024-07-04 09:16:41",,2553
"2024-07-04 09:16:50",,2555.2
"2024-07-04 09:17:00",,2554.1
"2024-07-04 09:17:10",,2551
"2024-07-04 09:17:15",,2551
"2024-07-04 09:17:16",,2551.05
"2024-07-04 09:17:17",,2551
"2024-07-04 09:17:18",,2551
"2024-07-04 09:17:19",,2551
"2024-07-04 09:17:20",,2551
"2024-07-04 09:17:21",,2551
"2024-07-04 09:17:22",,2551
"2024-07-04 09:17:23",,2551
"2024-07-04 09:17:24",,2550.2
"2024-07-04 09:17:25",,2550.9
"2024-07-04 09:17:26",,2550.85
"2024-07-04 09:17:27",,2550.1
"2024-07-04 09:17:28",,2550.1
"2024-07-04 09:17:29",,2550.15
"2024-07-04 09:17:30",,2550.15
"2024-07-04 09:17:31",,2550.15
"2024-07-04 09:17:32",,2550.1
"2024-07-04 09:17:33",,2550.1
"2024-07-04 09:17:34",,2550.1
"2024-07-04 09:17:35",,2550.1
"2024-07-04 09:17:36",,2550.1
"2024-07-04 09:17:37",,2550.1
"2024-07-04 09:17:38",,2550.75
"2024-07-04 09:17:39",,2551
"2024-07-04 09:17:40",,2550.1
"2024-07-04 09:17:41",,2550.1
"2024-07-04 09:17:42",,2550
"2024-07-04 09:17:43",,2548.75
"2024-07-04 09:17:44",,2549.85
"2024-07-04 09:17:45",,2548.5
"2024-07-04 09:17:46",,2548.9
"2024-07-04 09:17:47",,2548.45
"2024-07-04 09:17:48",,2548.9
"2024-07-04 09:17:49",,2548.85
"2024-07-04 09:17:50",,2549.75
"2024-07-04 09:17:51",,2552.45
"2024-07-04 09:17:52",,2551.55
"2024-07-04 09:17:53",,2551.5
"2024-07-04 09:17:54",,2551.5
"2024-07-04 09:17:55",,2550.85
"2024-07-04 09:17:56",,2550.85
"2024-07-04 09:17:57",,2550.85
"2024-07-04 09:17:58",,2550.65
"2024-07-04 09:17:59",,2550.65
"2024-07-04 09:18:00",,2550.65
"2024-07-04 09:18:01",,2549
"2024-07-04 09:18:02",,2550
"2024-07-04 09:18:03",,2548.85
"2024-07-04 09:18:04",,2548.85
"2024-07-04 09:18:05",,2548.95
"2024-07-04 09:18:06",,2548.95
"2024-07-04 09:18:07",,2548.95
