"DateTime","Pre Open MARUTI","MARUTIEQN"
"2022-09-02 09:00:02",9024.5,
"2022-09-02 09:00:03",9026.5,
"2022-09-02 09:00:04",9050,
"2022-09-02 09:00:06",9024.5,
"2022-09-02 09:00:07",9030,
"2022-09-02 09:00:08",9050,
"2022-09-02 09:00:09",9049,
"2022-09-02 09:00:10",9080,
"2022-09-02 09:00:11",9089,
"2022-09-02 09:00:12",9050,
"2022-09-02 09:00:14",9094,
"2022-09-02 09:00:15",9094,
"2022-09-02 09:00:16",9094,
"2022-09-02 09:00:17",9089,
"2022-09-02 09:00:18",9089,
"2022-09-02 09:00:19",9089,
"2022-09-02 09:00:20",9089,
"2022-09-02 09:00:21",9089,
"2022-09-02 09:00:22",9089,
"2022-09-02 09:00:23",9089,
"2022-09-02 09:00:24",9089,
"2022-09-02 09:00:25",9089,
"2022-09-02 09:00:26",9089,
"2022-09-02 09:00:27",9089,
"2022-09-02 09:00:28",9089,
"2022-09-02 09:00:29",9089,
"2022-09-02 09:00:30",9089,
"2022-09-02 09:00:31",9089,
"2022-09-02 09:00:32",9089,
"2022-09-02 09:00:33",9089,
"2022-09-02 09:00:34",9089,
"2022-09-02 09:00:35",9089,
"2022-09-02 09:00:37",9089,
"2022-09-02 09:00:38",9089,
"2022-09-02 09:00:39",9069.65,
"2022-09-02 09:00:41",9069.65,
"2022-09-02 09:00:42",9069.65,
"2022-09-02 09:00:43",9069.65,
"2022-09-02 09:00:45",9069.65,
"2022-09-02 09:00:46",9069.65,
"2022-09-02 09:00:47",9069.65,
"2022-09-02 09:00:48",9069.65,
"2022-09-02 09:00:49",9069.65,
"2022-09-02 09:00:50",9069.65,
"2022-09-02 09:00:52",9069.65,
"2022-09-02 09:00:53",9069.65,
"2022-09-02 09:00:54",9069.65,
"2022-09-02 09:00:55",9069.65,
"2022-09-02 09:00:57",9069.65,
"2022-09-02 09:00:58",9069.65,
"2022-09-02 09:00:59",9069.65,
"2022-09-02 09:01:00",9069.65,
"2022-09-02 09:01:01",9069.65,
"2022-09-02 09:01:02",9051.9,
"2022-09-02 09:01:03",9069,
"2022-09-02 09:01:04",9069,
"2022-09-02 09:01:06",9051.9,
"2022-09-02 09:01:07",9038,
"2022-09-02 09:01:08",9038,
"2022-09-02 09:01:09",9038,
"2022-09-02 09:01:10",9038,
"2022-09-02 09:01:11",9038,
"2022-09-02 09:01:12",9038,
"2022-09-02 09:01:14",9038,
"2022-09-02 09:01:15",9038,
"2022-09-02 09:01:16",9038,
"2022-09-02 09:01:17",9038,
"2022-09-02 09:01:18",9038,
"2022-09-02 09:01:19",9038,
"2022-09-02 09:01:20",9038,
"2022-09-02 09:01:21",9038,
"2022-09-02 09:01:23",9038,
"2022-09-02 09:01:24",9038,
"2022-09-02 09:01:25",9038,
"2022-09-02 09:01:26",9038,
"2022-09-02 09:01:27",9038,
"2022-09-02 09:01:29",9038,
"2022-09-02 09:01:30",9038,
"2022-09-02 09:01:31",9038,
"2022-09-02 09:01:32",9038,
"2022-09-02 09:01:34",9038,
"2022-09-02 09:01:35",9038,
"2022-09-02 09:01:36",9038,
"2022-09-02 09:01:37",9038,
"2022-09-02 09:01:38",9038,
"2022-09-02 09:01:40",9038,
"2022-09-02 09:01:41",9038,
"2022-09-02 09:01:42",9038,
"2022-09-02 09:01:43",9038,
"2022-09-02 09:01:44",9038,
"2022-09-02 09:01:45",9038,
"2022-09-02 09:01:47",9038,
"2022-09-02 09:01:48",9038,
"2022-09-02 09:01:49",9038,
"2022-09-02 09:01:50",9038,
"2022-09-02 09:01:51",9038,
"2022-09-02 09:01:52",9038,
"2022-09-02 09:01:53",9038,
"2022-09-02 09:01:54",9038,
"2022-09-02 09:01:55",9038,
"2022-09-02 09:01:56",9038,
"2022-09-02 09:01:57",9038,
"2022-09-02 09:01:58",9038,
"2022-09-02 09:01:59",9037.5,
"2022-09-02 09:02:01",9037.5,
"2022-09-02 09:02:02",9030,
"2022-09-02 09:02:03",9030,
